Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
178,7.0,0.1486,"function, multiple, array, numpy, create, object, class, return, query, attribute","['gettinfg', 'cannot', 'assign', 'must', 'instance', 'error', 'assigning', 'models', 'variable']"
179,6.0,0.1557,"error, date, code, sql, set, selenium, html, format, import, flask","['jinja', 'pass', 'statement']"
180,2.0,0.1729,"python, file, csv, files, google, run, script, api, read, save","['flask', 'app', 'inquiry', 'uploading', 'making', 'transformations', 'excel', 'files']"
181,2.0,0.1564,"python, file, csv, files, google, run, script, api, read, save","['python', 'need', 'maximize', 'outlook', 'window', 'opening', 'using', 'win', 'com', 'client']"
182,0.0,0.1623,"python, string, image, make, output, strings, replace, specific, print, split","['make', 'vscode', 'detect', 'auto', 'reload', 'modules', 'editing']"
183,2.0,0.1632,"python, file, csv, files, google, run, script, api, read, save","['edit', 'image', 'created', 'jupyter', 'notebook', 'without', 'running']"
184,4.0,0.1486,"list, python, dictionary, find, text, add, remove, number, elements, json","['dask', 'submit', 'insufficent', 'memory', 'load', 'allocation', 'scheduler']"
185,2.0,0.1915,"python, file, csv, files, google, run, script, api, read, save","['possible', 'integrate', 'data', 'visualizations', 'rendered', 'blender', 'jupyter', 'notebook']"
186,4.0,0.1536,"list, python, dictionary, find, text, add, remove, number, elements, json","['smooth', 'text', 'borders']"
187,0.0,0.148,"python, string, image, make, output, strings, replace, specific, print, split","['output', 'file', 'one', 'line', 'escape', 'sequences']"
188,3.0,0.1473,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['anyway', 'detect', 'tkinter', 'variable', 'changed', 'user', 'internally']"
189,4.0,0.1445,"list, python, dictionary, find, text, add, remove, number, elements, json","['list', 'transfer', 'dataframe', 'correctly']"
190,2.0,0.1632,"python, file, csv, files, google, run, script, api, read, save","['axios', 'request', 'drf', 'jwt', 'auth', 'fails']"
191,1.0,0.1568,"data, convert, model, django, table, tensorflow, keras, type, method, input","['import', 'spacy', 'importerror', 'preshed', 'maps', 'export', 'expected', 'function', 'map_clear']"
192,6.0,0.1414,"error, date, code, sql, set, selenium, html, format, import, flask","['qemu', 'source', 'code', 'kvm_run', 'ioctls', 'called']"
193,7.0,0.1652,"function, multiple, array, numpy, create, object, class, return, query, attribute","['access', 'function', 'inside', 'python', 'class', 'using', 'variable']"
194,6.0,0.1557,"error, date, code, sql, set, selenium, html, format, import, flask","['run', 'npm', 'ci']"
195,1.0,0.1318,"data, convert, model, django, table, tensorflow, keras, type, method, input","['dealing', 'comma', 'quotemarks', 'values', 'csv']"
196,4.0,0.1513,"list, python, dictionary, find, text, add, remove, number, elements, json","['remove', 'silence', 'periods', 'wav', 'file', 'python']"
197,7.0,0.15,"function, multiple, array, numpy, create, object, class, return, query, attribute","['understanding', 'numba', 'typingerror', 'jit', 'nopython']"
