Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
7557,6.0,0.1467,"error, date, code, sql, set, selenium, html, format, import, flask","['created', 'grouped', 'frequency', 'base', 'data', 'class', 'intervals']"
7558,5.0,0.1682,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['python', 'merge', 'two', 'dataframes', 'count', 'days']"
7559,1.0,0.1447,"data, convert, model, django, table, tensorflow, keras, type, method, input","['use', 'smote', 'sample', 'entire', 'dataset', 'maintaining', 'class', 'distributions']"
7560,5.0,0.1601,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['omit', 'data', 'dataframe', 'pandas', 'python']"
7561,2.0,0.1425,"python, file, csv, files, google, run, script, api, read, save","['facing', 'issues', 'using', 'magicmock', 'python']"
7562,6.0,0.1692,"error, date, code, sql, set, selenium, html, format, import, flask","['inserting', 'flag', 'occurence', 'date']"
7563,3.0,0.1713,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['means', 'plot', 'showing', 'properly']"
7564,2.0,0.15,"python, file, csv, files, google, run, script, api, read, save","['adding', 'additional', 'boards', 'azure', 'devops']"
7565,5.0,0.15,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['map', 'dictionary', 'wind', 'directions', 'new', 'column']"
7566,1.0,0.1652,"data, convert, model, django, table, tensorflow, keras, type, method, input","['loss', 'reduce', 'auto', 'encoder', 'like', 'setup', 'pytorch']"
7567,1.0,0.15,"data, convert, model, django, table, tensorflow, keras, type, method, input","['good', 'pattern', 'expressjs', 'rest', 'apis']"
7568,5.0,0.1528,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['possible', 'pivot', 'dataframe', 'get', 'monthly', 'aggregation']"
7569,0.0,0.1601,"python, string, image, make, output, strings, replace, specific, print, split","['transforming', 'gensim', 'interfaces', 'readable', 'result']"
7570,2.0,0.1592,"python, file, csv, files, google, run, script, api, read, save","['corpus', 'reading', 'docx', 'pptx', 'pdf', 'python']"
7571,5.0,0.2112,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['merging', 'dataframes', 'matching', 'columns', 'names', 'results', 'duplicate', 'columns']"
7572,1.0,0.1898,"data, convert, model, django, table, tensorflow, keras, type, method, input","['load', 'two', 'model', 'weights', 'one', 'keras']"
7573,0.0,0.1713,"python, string, image, make, output, strings, replace, specific, print, split","['undo', 'bytes', 'encoding', 'string']"
7574,3.0,0.1682,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['determine', 'frequency', 'seasonal', 'decomposition', 'questions']"
7575,2.0,0.15,"python, file, csv, files, google, run, script, api, read, save","['trying', 'import', 'multiple', 'csv', 'files', 'mongodb']"
7576,3.0,0.1507,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['tensorflow', 'string', 'labels', 'one_hot']"
7577,5.0,0.1518,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['remove', 'groups', 'specific', 'date', 'contained', 'date', 'column', 'pandas']"
7578,4.0,0.152,"list, python, dictionary, find, text, add, remove, number, elements, json","['python', 'dataframe', 'add', 'columns', 'groups']"
7579,6.0,0.15,"error, date, code, sql, set, selenium, html, format, import, flask","['scraping', 'multiple', 'data', 'tables', 'python']"
7580,5.0,0.15,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['python', 'take', 'log', 'difference', 'column', 'dataframe']"
7581,3.0,0.15,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['deal', 'variable', 'width', 'buttons', 'ipywidgets']"
7582,2.0,0.1343,"python, file, csv, files, google, run, script, api, read, save","['name', 'clashes', 'avoided', 'ipfs', 'dnslink']"
7583,5.0,0.1442,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['sankey', 'plot', 'self', 'loops', 'due', 'identical', 'labels', 'multiple', 'columns']"
7584,2.0,0.1374,"python, file, csv, files, google, run, script, api, read, save","['view', 'docker', 'swarm', 'cmd', 'line', 'output']"
7585,6.0,0.1447,"error, date, code, sql, set, selenium, html, format, import, flask","['select', 'last', 'entry', 'recorded', 'table', 'day', 'within', 'duration', 'days']"
7586,2.0,0.1985,"python, file, csv, files, google, run, script, api, read, save","['netmiko', 'execute', 'sh', 'run', 'host']"
7587,5.0,0.1557,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['take', 'last', 'rows', 'dataframe', 'nan']"
7588,6.0,0.1447,"error, date, code, sql, set, selenium, html, format, import, flask","['fetching', 'data', 'arduino', 'esp', 'heroku', 'python', 'app']"
7589,3.0,0.1662,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['expand', 'axis', 'datetimeindex', 'matplotlib', 'python']"
7590,7.0,0.1878,"function, multiple, array, numpy, create, object, class, return, query, attribute","['use', 'numpy', 'array', 'scikit', 'learn']"
7591,1.0,0.1662,"data, convert, model, django, table, tensorflow, keras, type, method, input","['zoom', 'zoom', 'js', 'collapsible', 'tree']"
7592,5.0,0.1786,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['split', 'contents', 'single', 'pandas', 'dataframe', 'column', 'multiple', 'new', 'columns']"
7593,3.0,0.1338,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['plot', 'respective', 'data', 'trendline', 'point']"
7594,2.0,0.1581,"python, file, csv, files, google, run, script, api, read, save","['include', 'image', 'jupyter', 'lab', 'notebook']"
7595,6.0,0.1473,"error, date, code, sql, set, selenium, html, format, import, flask","['cut', 'table', 'cells', 'end', 'text', 'html']"
7596,6.0,0.213,"error, date, code, sql, set, selenium, html, format, import, flask","['possible', 'response', 'http', 'error', 'code', 'variable', 'java', 'spring']"
7597,1.0,0.1528,"data, convert, model, django, table, tensorflow, keras, type, method, input","['standardize', 'data', 'certain', 'mean', 'standard', 'deviation', 'value']"
7598,2.0,0.1474,"python, file, csv, files, google, run, script, api, read, save","['python', 'netmiko', 'print', 'specific', 'line', 'matches', 'cisco', 'ios', 'software', 'show', 'version', 'command']"
7599,5.0,0.1621,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['groupby', 'unstack', 'plot', 'dask', 'dataframe']"
7600,2.0,0.1422,"python, file, csv, files, google, run, script, api, read, save","['possible', 'algorithm', 'converge', 'different', 'local', 'minima', 'use', 'data', 'twice', 'twice', 'randomization', 'initial', 'parameters']"
7601,3.0,0.1691,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['dc', 'js', 'able', 'order', 'bar', 'graph', 'using', 'ordering']"
7602,0.0,0.1374,"python, string, image, make, output, strings, replace, specific, print, split","['compare', 'spans', 'list', 'return', 'label', 'similar']"
7603,0.0,0.1473,"python, string, image, make, output, strings, replace, specific, print, split","['subtract', 'next', 'cumsum', 'current', 'cumsum', 'particular', 'value', 'pandas', 'numpy']"
7604,2.0,0.1682,"python, file, csv, files, google, run, script, api, read, save","['unable', 'clone', 'data', 'github', 'colab']"
7605,0.0,0.1711,"python, string, image, make, output, strings, replace, specific, print, split","['insert', 'parent', 'tag', 'condition', 'xml', 'python']"
7606,6.0,0.15,"error, date, code, sql, set, selenium, html, format, import, flask","['choosing', 'learning_rate', 'using', 'fastai', 'learn', 'lr_find']"
7607,2.0,0.1568,"python, file, csv, files, google, run, script, api, read, save","['google', 'cloud', 'data', 'processing', 'options', 'parsing', 'files', 'delivered', 'asynchronously']"
7608,3.0,0.1682,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['string', 'index', 'range', 'despite', 'iterating', 'within', 'range']"
7609,7.0,0.1557,"function, multiple, array, numpy, create, object, class, return, query, attribute","['appending', 'array', 'list']"
7610,1.0,0.1557,"data, convert, model, django, table, tensorflow, keras, type, method, input","['python', 'int', 'method']"
7611,4.0,0.1898,"list, python, dictionary, find, text, add, remove, number, elements, json","['need', 'use', 'pointer', 'events', 'clashes', 'elements']"
7612,1.0,0.15,"data, convert, model, django, table, tensorflow, keras, type, method, input","['select', 'column', 'table', 'django', 'working']"
7613,0.0,0.1473,"python, string, image, make, output, strings, replace, specific, print, split","['wraps', 'parts', 'contents']"
7614,4.0,0.1473,"list, python, dictionary, find, text, add, remove, number, elements, json","['xlrd', 'splitting', 'comma', 'separated', 'values', 'cell']"
7615,6.0,0.1662,"error, date, code, sql, set, selenium, html, format, import, flask","['python', 'selenium', 'handling', 'webdriver', 'exception']"
7616,3.0,0.1713,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['sklearn', 'standardscaler', 'seem', 'working', 'properly']"
7617,3.0,0.1702,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['draw', 'lines', 'dates', 'one', 'axis', 'matplotlib']"
7618,1.0,0.1447,"data, convert, model, django, table, tensorflow, keras, type, method, input","['pandas', 'converting', 'column', 'type', 'float', 'date', 'time']"
7619,6.0,0.1864,"error, date, code, sql, set, selenium, html, format, import, flask","['access', 'textbox', 'currently', 'running', 'windows', 'process']"
7620,6.0,0.1557,"error, date, code, sql, set, selenium, html, format, import, flask","['react', 'div', 'style']"
7621,5.0,0.146,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['group', 'list', 'data', 'column', 'operation']"
7622,1.0,0.1368,"data, convert, model, django, table, tensorflow, keras, type, method, input","['difference', 'int', 'outputs']"
7623,4.0,0.1467,"list, python, dictionary, find, text, add, remove, number, elements, json","['extract', 'specific', 'date', 'format', 'plain', 'text', 'python']"
7624,0.0,0.1682,"python, string, image, make, output, strings, replace, specific, print, split","['remove', 'extra', 'whitespace', 'image', 'opencv']"
7625,1.0,0.1798,"data, convert, model, django, table, tensorflow, keras, type, method, input","['authenticated', 'data', 'showing', 'webpage', 'logged', 'django', 'vue']"
7626,0.0,0.1368,"python, string, image, make, output, strings, replace, specific, print, split","['confidence', 'score', 'low']"
7627,3.0,0.1652,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['choosing', 'specific', 'columns', 'plotting', 'heat', 'map']"
7628,7.0,0.1584,"function, multiple, array, numpy, create, object, class, return, query, attribute","['sequentially', 'apply', 'files', 'db', 'specific', 'order', 'using', 'python']"
7629,7.0,0.1557,"function, multiple, array, numpy, create, object, class, return, query, attribute","['numpy', 'index', 'dimensions']"
7630,5.0,0.154,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'extract', 'data', 'dataframe', 'specified', 'format']"
7631,3.0,0.1528,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['save', 'figure', 'pytorch', 'using', 'matplotlib']"
7632,4.0,0.1557,"list, python, dictionary, find, text, add, remove, number, elements, json","['list', 'comprehension', 'numpy']"
7633,2.0,0.1473,"python, file, csv, files, google, run, script, api, read, save","['google', 'analytics', 'api', 'returning', 'results', 'different', 'pagetoken']"
7634,3.0,0.1811,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['position', 'title', 'time', 'series', 'seasonality', 'plots']"
7635,6.0,0.1442,"error, date, code, sql, set, selenium, html, format, import, flask","['parameter', 'sparsity', 'polynomialdecay', 'tensorflow', 'magnitude', 'based', 'weight', 'pruning']"
7636,5.0,0.174,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['convert', 'multiple', 'columns', 'individual', 'rows', 'values', 'pandas']"
7637,3.0,0.1907,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['change', 'color', 'move', 'bold', 'text', 'header', 'table', 'qlik', 'sense']"
7638,5.0,0.183,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'print', 'missing', 'value', 'column', 'names', 'count']"
7639,3.0,0.202,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['color', 'nan', 'values', 'making', 'contour', 'plot', 'matplotlib', 'collections', 'polycollection']"
7640,4.0,0.1528,"list, python, dictionary, find, text, add, remove, number, elements, json","['unwrap', 'result', 'inside', 'optional']"
7641,4.0,0.1595,"list, python, dictionary, find, text, add, remove, number, elements, json","['add', 'tags', 'product', 'backlog', 'items', 'devops', 'using', 'rest', 'api']"
7642,3.0,0.1515,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['tkinter', 'tags', 'labels']"
7643,1.0,0.1394,"data, convert, model, django, table, tensorflow, keras, type, method, input","['sklearn', 'preprocessing', 'onehotencoder', 'using', 'drop', 'handle_unknown', 'ignore']"
7644,3.0,0.1414,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['importing', 'non', 'square', 'adjacency', 'matrix', 'networkx', 'python']"
7645,6.0,0.1535,"error, date, code, sql, set, selenium, html, format, import, flask","['error', 'installing', 'pytext', 'nlp', 'error', 'matching', 'distribution', 'found', 'torch', 'pytext', 'nlp']"
7646,1.0,0.1713,"data, convert, model, django, table, tensorflow, keras, type, method, input","['symbolic', 'tensors', 'tensorflow', 'keras']"
7647,6.0,0.1445,"error, date, code, sql, set, selenium, html, format, import, flask","['bert', 'tokenizer', 'model', 'download']"
7648,0.0,0.1318,"python, string, image, make, output, strings, replace, specific, print, split","['return', 'dict', 'image', 'fastapi', 'endpoint']"
7649,1.0,0.15,"data, convert, model, django, table, tensorflow, keras, type, method, input","['take', 'input', 'list', 'arrays', 'keras', 'api']"
7650,5.0,0.1864,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['add', 'column', 'value', 'counts', 'pandas', 'dataframe']"
7651,6.0,0.2155,"error, date, code, sql, set, selenium, html, format, import, flask","['concerting', 'duration', 'hh', 'mm', 'ss', 'integer', 'return', 'invalid', 'literal', 'int', 'base', 'error']"
7652,3.0,0.1731,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['fix', 'size', 'plots', 'text', 'subplot', 'seaborn']"
7653,6.0,0.1473,"error, date, code, sql, set, selenium, html, format, import, flask","['calculate', 'error', 'using', 'python', 'code', 'instead', 'built', 'method']"
7654,7.0,0.1419,"function, multiple, array, numpy, create, object, class, return, query, attribute","['attach', 'dynamic', 'value', 'multiple', 'rows', 'presto']"
7655,0.0,0.15,"python, string, image, make, output, strings, replace, specific, print, split","['question', 'feeding', 'array', 'means', 'fit']"
7656,0.0,0.1581,"python, string, image, make, output, strings, replace, specific, print, split","['return', 'cumsum', 'days', 'dates', 'python']"
7657,5.0,0.194,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['use', 'part', 'first', 'row', 'part', 'second', 'row', 'column', 'headers', 'python', 'pandas']"
7658,1.0,0.1447,"data, convert, model, django, table, tensorflow, keras, type, method, input","['merge', 'files', 'type', 'float', 'dimensions', 'one', 'dataframe', 'python']"
7659,2.0,0.1473,"python, file, csv, files, google, run, script, api, read, save","['pass', 'variable', 'query', 'string', 'drive', 'api']"
7660,5.0,0.1743,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['iterate', 'pandas', 'dataframe', 'column', 'eval', 'statement', 'pass', 'column', 'values', 'empty', 'list', 'dictionary']"
7661,3.0,0.1621,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['center', 'multi', 'row', 'inline', 'flex']"
7662,1.0,0.1473,"data, convert, model, django, table, tensorflow, keras, type, method, input","['matrix', 'algebra', 'valueerror', 'computing', 'confidence', 'intervals']"
7663,1.0,0.1974,"data, convert, model, django, table, tensorflow, keras, type, method, input","['concatenate', 'list', 'data', 'type', 'int', 'data', 'type']"
7664,1.0,0.15,"data, convert, model, django, table, tensorflow, keras, type, method, input","['populate', 'column', 'django', 'views', 'py']"
7665,2.0,0.1528,"python, file, csv, files, google, run, script, api, read, save","['download', 'multiple', 'files', 'loop']"
7666,5.0,0.1652,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['return', 'sum', 'characters', 'row', 'another', 'column', 'pandas']"
7667,5.0,0.2009,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['sort', 'pandas', 'dataframe', 'column', 'another', 'dataframe', 'pandas']"
7668,5.0,0.1878,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'columns', 'rows', 'values']"
7669,5.0,0.1528,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['python', 'call', 'either', 'two', 'columns', 'dataframe']"
7670,5.0,0.2131,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['create', 'new', 'column', 'lists', 'pandas', 'dataframe', 'unique', 'values', 'another', 'column']"
7671,2.0,0.1652,"python, file, csv, files, google, run, script, api, read, save","['google', 'adwords', 'api', 'report', 'multiple', 'accounts']"
7672,7.0,0.1642,"function, multiple, array, numpy, create, object, class, return, query, attribute","['many', 'times', 'aws', 'lambda', 'fuctions', 'retry', 'invoked', 'asynchronously']"
7673,2.0,0.1581,"python, file, csv, files, google, run, script, api, read, save","['install', 'chrome', 'extension', 'using', 'selenium', 'python']"
7674,3.0,0.1581,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['limit', 'echo', 'string', 'foreach', 'loop']"
7675,6.0,0.1592,"error, date, code, sql, set, selenium, html, format, import, flask","['julia', 'flux', 'issue', 'undefvarerror', 'tracker', 'defined']"
7676,7.0,0.1798,"function, multiple, array, numpy, create, object, class, return, query, attribute","['pydeck', 'show', 'outputs', 'typeerror', 'vars', 'argument', 'must', 'attribute']"
7677,0.0,0.1632,"python, string, image, make, output, strings, replace, specific, print, split","['way', 'ignore', 'output', 'log', 'file', 'print', 'console']"
7678,5.0,0.1641,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['trying', 'group', 'dataframe', 'count', 'occurrence', 'categories']"
7679,2.0,0.1572,"python, file, csv, files, google, run, script, api, read, save","['use', 'rest', 'python', 'delete', 'multiple', 'ids', 'interation']"
7680,1.0,0.1798,"data, convert, model, django, table, tensorflow, keras, type, method, input","['mapping', 'timeseries', 'static', 'information', 'ml', 'model', 'xgboost']"
7681,6.0,0.1445,"error, date, code, sql, set, selenium, html, format, import, flask","['change', 'code', 'compatible', 'unittest']"
7682,6.0,0.1653,"error, date, code, sql, set, selenium, html, format, import, flask","['perforce', 'receiving', 'error', 'update', 'committed', 'change', 'trying', 'append', 'change', 'list', 'description']"
7683,5.0,0.1528,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['find', 'nan', 'pandas', 'dataframe']"
7684,5.0,0.1619,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['merging', 'multiple', 'dataframes', 'together']"
7685,3.0,0.15,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['confusion', 'using', 'descriptors', 'implement', 'type', 'checking']"
7686,5.0,0.1642,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['concatenate', 'varying', 'number', 'list', 'columns', 'pandas', 'dataframe']"
7687,7.0,0.1672,"function, multiple, array, numpy, create, object, class, return, query, attribute","['rewrite', 'optimize', 'ema', 'calculation']"
7688,6.0,0.1528,"error, date, code, sql, set, selenium, html, format, import, flask","['python', 'scrape', 'information', 'website']"
7689,7.0,0.1557,"function, multiple, array, numpy, create, object, class, return, query, attribute","['flatten', 'numpy', 'array']"
7690,1.0,0.1473,"data, convert, model, django, table, tensorflow, keras, type, method, input","['postgresql', 'query', 'time', 'ranges', 'timestamp', 'column']"
7691,4.0,0.135,"list, python, dictionary, find, text, add, remove, number, elements, json","['python', 'json', 'dumps', 'dump', 'int', 'python', 'python']"
7692,4.0,0.1768,"list, python, dictionary, find, text, add, remove, number, elements, json","['append', 'custom', 'stopwords', 'default', 'stopwords', 'list', 'nltk', 'corpus', 'remove', 'stopwords', 'series', 'dataframe', 'using', 'lambda']"
7693,1.0,0.1453,"data, convert, model, django, table, tensorflow, keras, type, method, input","['python', 'quantlib', 'deal', 'runtimeerror', 'addfixing', 'date', 'value']"
7694,2.0,0.1487,"python, file, csv, files, google, run, script, api, read, save","['shrink', 'git', 'lfs', 'repo']"
7695,6.0,0.2486,"error, date, code, sql, set, selenium, html, format, import, flask","['change', 'date', 'format', 'timezone', 'yyyy', 'mm', 'dd', 'hh', 'mm', 'ss']"
7696,7.0,0.1641,"function, multiple, array, numpy, create, object, class, return, query, attribute","['attributeerror', 'module', 'yahoo_finance', 'attribute', 'download']"
7697,5.0,0.1404,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['create', 'dataframe', 'databricks', 'environment']"
7698,5.0,0.1896,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['subsetting', 'rows', 'pandas', 'dataframe', 'datetime', 'index', 'work']"
7699,1.0,0.1422,"data, convert, model, django, table, tensorflow, keras, type, method, input","['type', 'sql', 'db', 'store', 'sound', 'array', 'data', 'column']"
7700,5.0,0.189,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pandas', 'replace', 'dataframe', 'values', 'based', 'criteria']"
7701,0.0,0.1447,"python, string, image, make, output, strings, replace, specific, print, split","['identify', 'button', 'clicked', 'wpf', 'gird', 'based', 'array']"
7702,2.0,0.2442,"python, file, csv, files, google, run, script, api, read, save","['receiving', 'fatal', 'could', 'read', 'username', 'https', 'github', 'com', 'terminal', 'prompts', 'disabled', 'building', 'project', 'terminal']"
7703,2.0,0.1898,"python, file, csv, files, google, run, script, api, read, save","['accessing', 'directory', 'google', 'colab']"
7704,2.0,0.1394,"python, file, csv, files, google, run, script, api, read, save","['join', 'frequency', 'repeated', 'categories', 'groupby', 'python']"
7705,6.0,0.1368,"error, date, code, sql, set, selenium, html, format, import, flask","['recieving', 'message', 'firebase']"
7706,6.0,0.1581,"error, date, code, sql, set, selenium, html, format, import, flask","['poetry', 'dependencies', 'available', 'running', 'script', 'tox']"
7707,0.0,0.1557,"python, string, image, make, output, strings, replace, specific, print, split","['redirecting', 'output', 'lolcat']"
7708,6.0,0.1439,"error, date, code, sql, set, selenium, html, format, import, flask","['way', 'subclassing', 'dict', 'collections', 'abc', 'mutablemapping', 'together']"
7709,5.0,0.1798,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['python', 'get', 'pandas', 'calculate', 'occurence', 'common', 'pattern', 'columns']"
7710,4.0,0.1595,"list, python, dictionary, find, text, add, remove, number, elements, json","['iterate', 'dictionaries', 'value', 'occurs', 'one', 'count', 'int', 'value', 'remove', 'key', 'count']"
7711,3.0,0.1572,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['check', 'pairs', 'values', 'satisfy', 'boolean', 'pandas']"
7712,2.0,0.161,"python, file, csv, files, google, run, script, api, read, save","['python', 'filtering', 'files', 'extension']"
7713,7.0,0.1779,"function, multiple, array, numpy, create, object, class, return, query, attribute","['store', 'answer', 'numpy', 'array', 'use', 'create', 'excel', 'sheet']"
7714,4.0,0.1422,"list, python, dictionary, find, text, add, remove, number, elements, json","['get', 'elements']"
7715,3.0,0.1466,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['custom', 'sorting', 'dictionary', 'values']"
7716,4.0,0.1691,"list, python, dictionary, find, text, add, remove, number, elements, json","['find', 'substring', 'substring', 'random', 'characters', 'replaced']"
7717,0.0,0.1493,"python, string, image, make, output, strings, replace, specific, print, split","['move', 'semantics', 'imply', 'referential', 'transparency', 'rust']"
7718,2.0,0.1513,"python, file, csv, files, google, run, script, api, read, save","['include', 'summary', 'text', 'grided', 'form', 'python']"
7719,2.0,0.15,"python, file, csv, files, google, run, script, api, read, save","['setting', 'updatetime', 'throws', 'test', 'run']"
7720,0.0,0.15,"python, string, image, make, output, strings, replace, specific, print, split","['summing', 'subtracting', 'numbers', 'column', 'pandas']"
7721,1.0,0.1528,"data, convert, model, django, table, tensorflow, keras, type, method, input","['keras', 'predict', 'based', 'one', 'instance']"
7722,5.0,0.1767,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['python', 'pandas', 'aggregate', 'column', 'latitude', 'longitude', 'based', 'distance']"
7723,3.0,0.15,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['python', 'generating', 'list', 'dates', 'two', 'dates']"
7724,0.0,0.1528,"python, string, image, make, output, strings, replace, specific, print, split","['account', 'possible', 'whitespace', 'matched', 'words']"
7725,1.0,0.1652,"data, convert, model, django, table, tensorflow, keras, type, method, input","['passing', 'list', 'parameter', 'performs', 'better', 'passing', 'generator']"
7726,7.0,0.1876,"function, multiple, array, numpy, create, object, class, return, query, attribute","['appending', 'two', 'dataframes', 'attributeerror', 'nonetype', 'object', 'attribute', 'is_extension']"
7727,7.0,0.1632,"function, multiple, array, numpy, create, object, class, return, query, attribute","['pass', 'arguments', 'pynput', 'listener', 'on_press', 'function']"
7728,1.0,0.1394,"data, convert, model, django, table, tensorflow, keras, type, method, input","['get', 'tf', 'idf', 'value']"
7729,2.0,0.1368,"python, file, csv, files, google, run, script, api, read, save","['iterate', 'dates', 'pandas']"
7730,7.0,0.1394,"function, multiple, array, numpy, create, object, class, return, query, attribute","['best', 'implementation', 'dfs']"
7731,1.0,0.1343,"data, convert, model, django, table, tensorflow, keras, type, method, input","['get', 'prediction', 'interval', 'column', 'predictions']"
7732,3.0,0.1528,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['histogram', 'correlation', 'specific', 'column']"
7733,1.0,0.1368,"data, convert, model, django, table, tensorflow, keras, type, method, input","['uninstall', 'python', 'macos']"
7734,7.0,0.1557,"function, multiple, array, numpy, create, object, class, return, query, attribute","['retrieve', 'column', 'name', 'db']"
7735,7.0,0.1453,"function, multiple, array, numpy, create, object, class, return, query, attribute","['deal', 'log', 'sum', 'two', 'super', 'small', 'probabilities']"
7736,7.0,0.1641,"function, multiple, array, numpy, create, object, class, return, query, attribute","['assignment', 'fillna', 'loc', 'apparently', 'working']"
7737,4.0,0.1434,"list, python, dictionary, find, text, add, remove, number, elements, json","['problem', 'saving', 'json', 'data', 'python', 'list']"
7738,5.0,0.1652,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['performing', 'svd', 'pandas', 'dataframe', 'lots', 'nan']"
7739,5.0,0.1338,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['image', 'website', 'displaying', 'ios', 'devices']"
7740,5.0,0.1737,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['pyspark', 'filter', 'df', 'based', 'columns', 'run', 'every', 'subset', 'df', 'function']"
7741,5.0,0.1612,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['plot', 'value', 'counts', 'showing', 'titles', 'values', 'pandas']"
7742,5.0,0.1924,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['group', 'unique', 'values', 'pandas', 'groupby']"
7743,2.0,0.15,"python, file, csv, files, google, run, script, api, read, save","['amazon', 'aws', 'glacier', 'file', 'hierarchy']"
7744,6.0,0.1607,"error, date, code, sql, set, selenium, html, format, import, flask","['extract', 'data', 'dd', 'mm', 'yyyy', 'format', 'string', 'column', 'azure', 'data', 'flow']"
7745,3.0,0.1605,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['use', 'proxy', 'model', 'change', 'cell', 'background', 'color', 'qtableview', 'values', 'changed']"
7746,0.0,0.1507,"python, string, image, make, output, strings, replace, specific, print, split","['vectorized', 'buil', 'abs', 'function']"
7747,6.0,0.1445,"error, date, code, sql, set, selenium, html, format, import, flask","['use', 'jquery', 'datatables', 'filter', 'certain', 'columns']"
7748,4.0,0.1389,"list, python, dictionary, find, text, add, remove, number, elements, json","['loop', 'ignored', 'inside', 'function']"
7749,5.0,0.1767,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['combine', 'two', 'columns', 'containing', 'lists', 'first', 'last', 'names', 'one', 'column', 'list', 'full', 'names']"
7750,5.0,0.1662,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['finding', 'values', 'grouped', 'together', 'pandas', 'dataframe']"
7751,0.0,0.141,"python, string, image, make, output, strings, replace, specific, print, split","['powerbi', 'weekday', 'weekend']"
7752,7.0,0.1713,"function, multiple, array, numpy, create, object, class, return, query, attribute","['index', 'object', 'attribute', 'levels']"
7753,5.0,0.148,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['postgresql', 'query', 'help', 'check', 'multiple', 'columns', 'increasing', 'decreasing', 'value', 'time']"
